84,명일1동주민센터,서울특별시 강동구 양재대로138길 37 (명일동),서울특별시 강동구 양재대로138길 37 
85,명일2동주민센터,서울특별시 강동구 상암로 260 (명일동),서울특별시 강동구 상암로 260 
86,상일동주민센터,서울특별시 강동구 고덕로80길 111 (상일동),서울특별시 강동구 고덕로80길 111 
87,성내1동주민센터,서울특별시 강동구 성내로 13 (성내동),서울특별시 강동구 성내로 13 
88,성내2동주민센터,서울특별시 강동구 풍성로37가길 62 (성내동),서울특별시 강동구 풍성로37가길 62 
89,오금동주민센터,서울특별시 송파구 중대로2길 5 (오금동),서울특별시 송파구 중대로2길 5 
91,서초3동주민센터,서울특별시 서초구 반포대로10길 10,서울특별시 서초구 반포대로10길 10
93,망원1동주민센터,서울특별시 마포구 포은로6길 10 (망원동),서울특별시 마포구 포은로6길 10 
94,망원2동주민센터,서울특별시 마포구 방울내로7길 11 (망원동),서울특별시 마포구 방울내로7길 11 
95,상암동주민센터,서울특별시 마포구 매봉산로2길 16 (상암동),서울특별시 마포구 매봉산로2길 16 
96,서강동주민센터,서울특별시 마포구 독막로 165 (창전동),서울특별시 마포구 독막로 165 
97,서교동주민센터,서울특별시 마포구 동교로15길 7 (서교동),서울특별시 마포구 동교로15길 7 
98,성산1동주민센터,서울특별시 마포구 성산로4길 15 (성산동),서울특별시 마포구 성산로4길 15 
99,성산2동주민센터,서울특별시 마포구 월드컵북로30길 22 (성산동),서울특별시 마포구 월드컵북로30길 22 
100,신수동주민센터,서울특별시 마포구 독막로 192 (신수동),서울특별시 마포구 독막로 192 
101,아현동주민센터,서울특별시 마포구 마포대로7길 18 (공덕동),서울특별시 마포구 마포대로7길 18 
102,연남동주민센터,서울특별시 마포구 성미산로29길 17-9 (연남동),서울특별시 마포구 성미산로29길 17-9 
103,염리동주민센터,서울특별시 마포구 숭문길 14 (염리동),서울특별시 마포구 숭문길 14 
104,용강동주민센터,서울특별시 마포구 토정로31길 31 (용강동),서울특별시 마포구 토정로31길 31 
105,합정동주민센터,서울특별시 마포구 동교로8길 58 (합정동),서울특별시 마포구 동교로8길 58 
106,남가좌1동주민센터,서울특별시 서대문구 수색로2길48 (남가좌동),서울특별시 서대문구 수색로2길48 
107,남가좌2동주민센터,서울특별시 서대문구 증가로10길28 (남가좌동),서울특별시 서대문구 증가로10길28 
108,북가좌1동주민센터,서울특별시 서대문구 수색로100-55 (북가좌동),서울특별시 서대문구 수색로100-55 
109,북가좌2동주민센터,서울특별시 서대문구 응암로1길10 (북가좌동),서울특별시 서대문구 응암로1길10 
110,북아현동주민센터,서울특별시 서대문구 이화여대길92-8 (대현동),서울특별시 서대문구 이화여대길92-8 
111,신촌동주민센터,서울특별시 서대문구 이화여대길92-8 (대현동),서울특별시 서대문구 이화여대길92-8 
112,연희동주민센터,서울특별시 서대문구 연희로189 (연희동),서울특별시 서대문구 연희로189 
113,천연동주민센터,서울특별시 서대문구 성산로694,서울특별시 서대문구 성산로694
114,충현동주민센터,서울특별시 서대문구 북아현로22길38 (북아현동),서울특별시 서대문구 북아현로22길38 
115,홍은1동주민센터,서울특별시 서대문구 홍은중앙로85 (홍은동),서울특별시 서대문구 홍은중앙로85 
116,홍은2동주민센터,서울특별시 서대문구 모래내로334 (홍은동),서울특별시 서대문구 모래내로334 
