98,성산1동주민센터,서울특별시 마포구 성산로4길 15 ,37.5633288,126.9078837
99,성산2동주민센터,서울특별시 마포구 월드컵북로30길 22 ,37.5685712,126.9089833
100,신수동주민센터,서울특별시 마포구 독막로 192 ,37.5471133,126.9350571
101,아현동주민센터,서울특별시 마포구 마포대로7길 18 ,37.5470652,126.9521435
102,연남동주민센터,서울특별시 마포구 성미산로29길 17-9 ,37.5644596,126.9220094
103,염리동주민센터,서울특별시 마포구 숭문길 14 ,37.5470262,126.9456359
104,용강동주민센터,서울특별시 마포구 토정로31길 31 ,37.5440352,126.9445143
105,합정동주민센터,서울특별시 마포구 동교로8길 58 ,37.5494113,126.9057261
106,남가좌1동주민센터,서울특별시 서대문구 수색로2길48 ,37.5708097,126.9164593
107,남가좌2동주민센터,서울특별시 서대문구 증가로10길28 ,37.5783785,126.9238556
108,북가좌1동주민센터,서울특별시 서대문구 수색로100-55 ,37.5742842,126.9101562
109,북가좌2동주민센터,서울특별시 서대문구 응암로1길10 ,37.5814481,126.9111617
110,북아현동주민센터,서울특별시 서대문구 이화여대길92-8 ,37.5595017,126.9434941
111,신촌동주민센터,서울특별시 서대문구 이화여대길92-8 ,37.5595017,126.9434941
112,연희동주민센터,서울특별시 서대문구 연희로189 ,37.5738394,126.9352132
113,천연동주민센터,서울특별시 서대문구 성산로694,37.5710758,126.9590464
114,충현동주민센터,서울특별시 서대문구 북아현로22길38 ,37.5647663,126.9547073
115,홍은1동주민센터,서울특별시 서대문구 홍은중앙로85 ,37.5988191,126.9471227
116,홍은2동주민센터,서울특별시 서대문구 모래내로334 ,37.579981,126.9341374
117,홍제1동주민센터,서울특별시 서대문구 통일로435-1 ,37.5876568,126.9448649
118,홍제2동주민센터,서울특별시 서대문구 통일로34길27 ,37.5860669,126.9493506
119,홍제3동주민센터,서울특별시 서대문구 세검정로4길32 ,37.5937421,126.9496787
146,개포1동주민센터,서울특별시 강남구 개포로 310-17,37.48193759999999,127.0574671
147,개포2동주민센터,서울특별시 강남구 개포로 511,37.4897452,127.0690638
148,개포4동주민센터,서울특별시 강남구 개포로38길 12,37.4788109,127.0516147
149,논현1동주민센터,서울특별시 강남구 학동로20길 25,37.5114451,127.0285364
150,논현2동주민센터,서울특별시 강남구 학동로43길 17,37.5172158,127.0371731
152,망우3동주민센터,서울특별시 중랑구 용마산로 461 ,37.5923316,127.0981378
153,망우본동주민센터,서울특별시 중랑구 망우로67길 10 ,37.60107,127.1009858
154,면목2동주민센터,서울특별시 중랑구 동일로101길 20-15 ,37.5896952,127.0789996
155,면목4동주민센터,서울특별시 중랑구 면목로 246 ,37.5746612,127.0855957
156,면목5동주민센터,서울특별시 중랑구 동일로 619 ,37.5857452,127.0794819
157,면목7동주민센터,서울특별시 중랑구 면목로 298 ,37.5789724,127.0869514
158,면목본동주민센터,서울특별시 중랑구 면목로 397 ,37.5871918,127.0876595
159,면목제3.8동주민센터,서울특별시 중랑구 사가정로51길 48 ,37.5829203,127.0880558
160,묵1동주민센터,서울특별시 중랑구 공릉로2가길 5 ,37.6123755,127.0784639
161,묵2동주민센터,서울특별시 중랑구 동일로157길 29 ,37.6095801,127.0759897
162,상봉1동주민센터,서울특별시 중랑구 상봉중앙로1길 6 ,37.5998105,127.0871498
163,상봉2동주민센터,서울특별시 중랑구 봉우재로 93-5 ,37.5923863,127.0832478
164,신내1동주민센터,서울특별시 중랑구 용마산로129나길 35 ,37.6058539,127.0994876
165,신내2동주민센터,서울특별시 중랑구 봉화산로 190 ,37.6062275,127.0941465
166,중화1동주민센터,서울특별시 중랑구 동일로134길 17 ,37.6011323,127.0806479
167,중화2동주민센터,서울특별시 중랑구 봉화산로3길 28 ,37.6027938,127.0761518
168,내곡동주민센터,서울특별시 서초구 염곡말길 9 ,37.4619252,127.0511758
169,반포1동주민센터,서울특별시 서초구 사평대로 273,37.5050553,127.0133662
170,반포2동주민센터,서울특별시 서초구 신반포로15길 16,37.5045471,126.9944578
171,반포3동주민센터,서울특별시 서초구 신반포로23길 78,37.5119856,127.0055618
172,반포4동주민센터,서울특별시 서초구 사평대로28길,37.4982202,127.0003714
173,반포본동주민센터,서울특별시 서초구 신반포로 10,37.5004451,126.9860815
175,당산1동주민센터,서울특별시 영등포구 양산로23길 11,37.5250065,126.8973705
176,당산2동주민센터,서울특별시 영등포구 당산로235,37.5346716,126.9020765
177,대림1동주민센터,서울특별시 영등포구 디지털로 441,37.4954619,126.9059484
178,대림2동주민센터,서울특별시 영등포구 대림로23길 25,37.4926421,126.8981438
179,대림3동주민센터,서울특별시 영등포구 대림로197,37.4982878,126.8980224
180,도림동주민센터,서울특별시 영등포구 도영로7길 10,37.5094235,126.8959755
181,문래동주민센터,서울특별시 영등포구 문래로28길 15,37.517436,126.8997884
182,신길1동주민센터,서울특별시 영등포구 영등포로84길 24-5,37.5111184,126.9214333
183,신길3동주민센터,서울특별시 영등포구 신길로41라길 13-8,37.5072687,126.9077441
184,신길4동주민센터,서울특별시 영등포구 신길로42길1,37.5084121,126.9112654
185,신길5동주민센터,서울특별시 영등포구 도림로 264,37.5015982,126.9051893
186,신길6동주민센터,서울특별시 영등포구 대방천로 169,37.4993327,126.9098355
187,신길7동주민센터,서울특별시 영등포구 여의대방로43길 10,37.5063687,126.9214937
188,양평1동주민센터,서울특별시 영등포구 영등포로11길 12,37.5235984,126.8883578
189,양평2동주민센터,서울특별시 영등포구 양평로20길 8-1,37.5377546,126.8959494
190,여의동주민센터,서울특별시 영등포구 국제금융로 124,37.5176416,126.9345971
191,영등포동주민센터,서울특별시 영등포구 영등포로53길 22,37.5203491,126.9106814
192,영등포본동주민센터,서울특별시 영등포구신길로61길,37.5149372,126.9093327
193,남영동주민센터,서울특별시 용산구 두텁바위로 25 ,37.54666539999999,126.9796091
194,보광동주민센터,서울특별시 용산구 장문로 95 ,37.5262782,127.0001476
195,서빙고동주민센터,서울특별시 용산구 서빙고로 279 ,37.5204423,126.9946495
196,용문동주민센터,서울특별시 용산구 새창로12길 13 ,37.5389156,126.9575712
197,용산2가동주민센터,서울특별시 용산구 신흥로 90 ,37.5460443,126.9855627
198,원효로1동주민센터,서울특별시 용산구 백범로 350 ,37.5372099,126.9676133
199,원효로2동주민센터,서울특별시 용산구 효창원로8길 3 ,37.5343171,126.9515072
200,이촌1동주민센터,서울특별시 용산구 이촌로71길 24 ,37.5211816,126.9732349
201,이촌2동주민센터,서울특별시 용산구 이촌로18길 20 ,37.52624280000001,126.9546466
202,이태원1동주민센터,서울특별시 용산구 보광로 104-6 ,37.5324792,126.9950548
203,잠실2동주민센터,서울특별시 송파구 올림픽로 159 ,37.5118467,127.0885253
204,잠실3동주민센터,서울특별시 송파구 잠실로 51-31 ,37.5132358,127.094223
205,잠실4동주민센터,서울특별시 송파구 올림픽로35길 16 ,37.520098,127.112236
206,잠실6동주민센터,서울특별시 송파구 올림픽로35길 120 ,37.5180985,127.1006534
207,잠실7동주민센터,서울특별시 송파구 올림픽로4길 17 상가2층 ,37.50685550000001,127.0729819
208,잠실본동주민센터,서울특별시 송파구 백제고분로15길 9 ,37.5061114,127.0843208
209,장지동주민센터,서울특별시 송파구 새말로19길 6 ,37.486946,127.1324369
210,풍납1동주민센터,서울특별시 송파구 천호대로152길 7 ,37.5380312,127.122061
211,풍납2동주민센터,서울특별시 송파구 토성로 64 ,37.5287189,127.1167553
212,목1동주민센터,서울특별시 양천구 목동서로 192 ,37.5303204,126.8711038
213,목2동주민센터,서울특별시 양천구 중앙본로 120 ,37.5460632,126.8717027
214,목3동주민센터,서울특별시 양천구 목동중앙남로16나길 55 ,37.5447045,126.8644277
215,목4동주민센터,서울특별시 양천구 목동중앙로 25 ,37.5323636,126.8683316
216,목5동주민센터,서울특별시 양천구 목동서로 41 ,37.528153,126.875746
217,신월1동주민센터,서울특별시 양천구 중앙로32길 1 ,37.5185532,126.8542903
218,신월2동주민센터,서울특별시 양천구 목동동로 154 ,37.5191481,126.8705867
219,신월3동주민센터,서울특별시 양천구 중앙로 209 ,37.51510700000001,126.8547785
220,신월4동주민센터,서울특별시 양천구 은행정로11가길 8 ,37.5234012,126.8587051
221,신월5동주민센터,서울특별시 양천구 목동서로 353 ,37.5170439,126.8644556
222,신월6동주민센터,서울특별시 양천구 목동동로 37 ,37.5143586,126.8596595
